Date,ADS.DE,AKZA.AS,ALV.DE,ASML.AS,ATO.PA,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BN.PA,BNP.PA,CA.PA,CAP.PA,CO.PA,CON.DE,CRBN.AS,CS.PA,DAI.DE,DBK.DE,DSY.PA,DTE.DE,EN.PA,ENGI.PA,EO.PA,EXO.MI,G.MI,GFC.PA,HEI.DE,HEIA.AS,RMS.PA
2000/1/3,784844,712533,814220,6634006,116737,3137354,2648779,33894,1335338,3382059,3712666,757948,492603,104687,195316,185200,12220956,3489955,4759121,309396,8048611,6778400,2602000,6251,156483,6723970,6939,5107,617080,16395
2000/1/4,1212496,1069511,759342,8625659,136002,4489508,2606194,112395,1564056,6230117,6404755,1799994,357912,153778,239719,118200,25162210,3572894,5017856,488208,7272321,11345400,2560000,14278,300510,5444010,8894,26718,2100402,33063
2000/1/5,3316176,2738756,1052661,18386042,173120,4809958,2344212,96486,1359518,5252493,4837348,2222860,784213,170810,153433,119000,20716145,2786268,5950909,485716,7189304,8405000,3970500,55553,233333,5538940,23465,18511,3871423,55344
2000/1/6,3043168,2015378,599172,16580556,127833,3306128,2697900,58350,1064746,9245940,6594478,2263606,468768,179399,215879,753100,10870492,1828761,3857224,475878,7175520,10554700,3477000,33329,83210,2455860,3317,13564,5494813,97941
2000/1/7,3552880,2322311,1053412,18534522,119003,4621272,2635381,58734,1575704,8866495,5929663,1487008,550392,273556,365332,449600,15711483,2693543,5869651,412760,7447419,18317600,3451500,42155,251750,4023140,41096,19393,5407766,131712
2000/1/10,3396512,1839911,858160,9441861,115549,2576028,2632124,87924,1275718,4255250,5758423,1868924,492569,331788,213200,772700,12212155,2894004,3865162,527102,5060175,16548800,3171500,28131,290308,3364790,29580,30820,2987805,61107
2000/1/11,2990432,3164444,699955,11158302,109732,4773052,2194256,90540,1303046,4087655,9474585,3643944,831122,306534,255056,925900,16136659,2523210,3652564,526974,5320491,10018000,3466000,22839,168938,4065050,10828,48606,3146980,48825
2000/1/12,1015076,1437882,574512,11767688,72386,2351408,2743728,123201,966988,6201156,6548511,2638862,591544,339230,385332,2042553,17079364,1593308,3462018,383444,4372711,8730400,3630500,20406,115805,3499870,20619,28923,2358357,96495
2000/1/13,4529184,1790141,958670,10551197,83325,2482930,2818194,80292,1614659,6131992,6213670,1661306,326272,151985,313711,375343,16132009,4461199,5141213,550596,5515978,19653900,2971500,14561,371663,3580060,18671,8626,1745080,62985
2000/1/14,12744512,3072444,1404212,19267281,100572,2784548,3196583,87435,2218592,4837084,4935015,1558178,264852,216906,296766,191300,17266551,2520304,4478424,824452,5749337,11704000,3895000,18167,187885,4201010,18699,8877,1714915,125832
2000/1/17,4527392,3510578,761998,11282734,43797,2656820,4372612,68820,1278071,5088137,4767307,1789390,182660,132920,82087,334900,16607787,3050944,4366514,471702,6433543,11295700,2545000,8268,121768,5022820,18265,14100,1215601,108501
